District code,State name,District Name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Television,Households_with_Telephone_Mobile_Phone,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000
292,TRIPURA,North Tripura,693947,352860,341087,520402,275646,244756,248667,186034,62633,186105,62562,445280,81601,150437,42184,192621,129329,179547,158211,47160,22720,18419,559122,156840,715962,414878,178608,100274,42636,2726,43755,63308,50104,127388,60499,16853,7454,6361,1376,55207,31151,2298,48723,11656,4713,13394,18107,26582,93545,37055,29908,35094,4185,114600,14151,1552,1775,189,34,20405,139
293,MEGHALAYA,West Garo Hills,643291,324159,319132,358702,193438,165264,255693,151914,103779,188371,67322,387598,51301,139351,18594,157945,85733,129178,90963,70941,29404,10856,420622,208900,629522,427629,143604,70599,32839,3589,35051,45766,21585,73800,36282,19736,21251,3088,4823,45043,34389,11041,20818,7388,3339,9362,12701,16475,58500,21168,20857,41203,9376,92589,12008,1212,1437,188,37,15746,127
294,MEGHALAYA,East Garo Hills,317917,161223,156694,192147,102513,89634,126073,72262,53811,83936,42137,191844,24550,62698,11518,74216,51578,70679,52762,31328,9473,2484,218602,100781,319383,216742,70424,29926,22238,1167,15115,15314,7915,46851,22324,491,21097,876,429,28215,15707,262,10343,329,958,3992,4950,7301,26346,9488,9557,20576,5485,45070,6285,440,512,67,5,5490,58
295,MEGHALAYA,South Garo Hills,142334,73170,69164,82062,45003,37059,53069,32826,20243,38397,14672,89265,10940,35930,3713,39643,25906,28921,21506,13858,3998,826,95846,44849,140695,97082,30605,14495,2581,695,6721,6235,2347,15916,2859,94,11062,2404,291,11075,2719,582,6492,73,674,1545,2219,2579,9858,3498,3781,8929,3202,17672,3357,310,397,72,15,2782,26
296,MEGHALAYA,West Khasi Hills,383461,193715,189746,230678,117307,113371,163345,89694,73651,119803,43542,220116,32873,74832,12299,87131,80318,78208,45046,28417,12295,6450,251275,133244,384519,278569,69988,33431,3325,1683,12548,19192,15981,29492,12147,1474,13657,1847,886,31934,5615,6310,22687,1175,1765,3905,5670,6781,24288,8599,8908,23307,10355,46341,7167,608,729,108,13,9383,76
297,MEGHALAYA,Ribhoi,258840,132531,126309,155859,80977,74882,106473,63871,42602,90875,15598,152367,30676,57988,5736,63724,57680,58581,31103,20134,7632,3911,179674,78974,258648,183343,52945,22365,3769,1865,14471,20670,10414,30296,6450,980,8124,1779,1411,20863,6324,2944,21866,692,1768,3009,4777,5296,19518,7004,7218,16174,5191,32688,4061,426,532,88,18,8379,40
298,MEGHALAYA,East Khasi Hills,825922,410749,415173,578030,287270,290760,326786,204303,122483,289576,37210,499136,135941,106248,108843,215091,118135,163729,127722,94579,58836,61639,634037,168575,802612,545961,192428,86576,5188,15048,79933,93619,109102,111335,9885,4075,14284,2733,3206,65687,56403,5706,112619,2251,8824,14620,23444,22449,76900,28384,26067,46821,13667,107279,12644,1672,2001,278,51,38908,113
299,MEGHALAYA,Jaintia Hills,395124,196285,198839,187527,87371,100156,154180,88839,65341,110617,43563,240944,41677,76546,7171,83717,67749,61526,34677,26748,13544,8039,215217,165184,380401,291097,72934,30362,1826,4790,17352,30613,45836,30960,9355,2433,12601,1416,3044,29889,8371,3926,16522,2259,2159,3611,5770,6187,23935,8404,9344,24677,10460,42117,9912,1931,2507,429,147,10306,63
300,ASSAM,Kokrajhar,887142,452905,434237,489305,275220,214085,341131,236322,104809,253110,88021,546011,41373,204896,17115,222011,116899,166013,154715,78788,39571,17287,576006,340601,916607,552671,224715,108956,115712,2996,32320,75903,28132,52532,63325,96490,1406,3748,6998,42957,103512,379,5098,23313,4612,13066,17678,26736,102861,40099,36026,50540,8992,135308,20774,3022,3688,545,121,20301,52
301,ASSAM,Dhubri,1949258,997848,951410,922341,511551,410790,669819,524898,144921,504998,164821,1279439,72232,460602,60417,521019,253638,299724,250242,100387,65082,34401,1007337,992068,1999405,1286592,439375,221745,139403,3672,44414,139069,87966,179665,21276,349907,2392,9235,20943,81196,270415,1485,7876,34613,18270,44048,62318,67723,226003,84144,74136,106940,19428,324883,28748,4773,5814,843,198,55244,52
302,ASSAM,Goalpara,1008183,513292,494891,563577,304302,259275,362573,267118,95455,266376,96197,645610,78641,228610,39504,268114,124700,213510,183904,73683,39885,18294,657440,375071,1032511,650509,239831,117427,113964,4112,42628,93630,60181,129311,53175,126514,2042,3609,6063,44095,115683,138,4201,9092,5075,13846,18921,28639,108374,42030,37705,56821,13429,149008,22705,3711,4475,636,128,21357,52
303,ASSAM,Barpeta,1693622,867004,826618,897058,499038,398020,561824,445297,116527,439453,122371,1131798,84804,447189,52192,499381,210607,307884,300845,121924,87377,46947,1083591,664161,1747752,1072312,405046,215355,181352,5560,55319,151699,97152,243504,12995,296555,479,7691,12151,74876,220128,976,5966,20547,8117,23690,31807,47692,190552,74238,68622,95730,20383,261844,36749,7012,8510,1213,285,31369,52
304,ASSAM,Morigaon,957423,486651,470772,539902,289698,250204,351148,257984,93164,260968,90180,606275,52404,232206,25275,257481,130091,195656,179810,67969,40803,18462,635582,351756,987338,612737,225224,118271,112160,3927,32449,80962,65747,111528,15187,155024,342,2438,4704,34192,128837,541,5999,2512,4118,13232,17350,25650,98475,37965,34860,54708,14990,141171,20871,4030,4988,775,183,18493,52
305,ASSAM,Nagaon,2823768,1439112,1384656,1710716,921850,788866,979998,766728,213270,734993,245005,1843770,195631,674999,124186,799185,392616,638088,576214,199792,115864,66994,1999919,873197,2873116,1778277,678034,366112,333149,13979,127523,271238,250174,422431,58447,436923,2584,8543,11839,111783,362290,4760,33210,35623,14457,43763,58220,81779,302531,116769,103983,160725,39381,425164,57931,10355,12945,2027,563,64817,52
306,ASSAM,Sonitpur,1924110,983904,940206,1108572,620525,488047,770606,537195,233411,558325,212281,1153504,133368,483325,64528,547853,216097,416218,377653,141373,90385,49901,1298039,627141,1925180,1159991,501239,261648,275119,11760,106909,163277,177951,228882,186802,135176,2739,15114,5298,104501,207718,1749,33448,16215,10246,27709,37955,57488,219954,86521,75945,108021,20969,284779,47266,7273,8779,1238,268,46075,52
307,ASSAM,Lakhimpur,1042137,529674,512463,683486,375552,307934,429995,282250,147745,283533,146462,612142,60296,293239,34694,327933,126950,212080,217497,107326,82885,44212,795681,275677,1071358,639385,268872,133615,133214,6904,45689,92394,73904,117971,74157,100592,506,8173,2082,51962,115599,3820,10937,23337,4451,11429,15880,26384,113696,46006,41306,59383,14313,149287,28914,5293,6388,895,200,18683,52
308,ASSAM,Dhemaji,686133,351249,334884,423028,237761,185267,316800,186577,130223,201364,115436,369333,28195,211758,16504,228262,79107,138838,136371,80804,55399,28006,521393,194984,716377,434221,169630,82051,83663,3504,25776,57166,37742,57995,9430,102172,409,7501,2753,38063,71165,3574,2965,36334,2272,6031,8303,14583,69390,27022,27785,41922,9944,93934,20387,3840,4715,710,165,10523,52
309,ASSAM,Tinsukia,1327929,680231,647698,798322,453449,344873,557196,366623,190573,410188,147008,770733,161718,290704,90910,381614,150893,266717,276292,109805,61040,38152,910252,417081,1327333,799874,352158,175377,168890,13323,111738,124737,167479,217556,12270,222501,728,2163,2548,69408,177588,1025,25386,57599,9188,20339,29527,36547,147468,57086,53835,76134,15254,189279,35088,6248,7686,1151,287,36330,52
310,ASSAM,Dibrugarh,1326335,676434,649901,884531,491361,393170,560557,368013,192544,391597,168960,765778,136685,299852,77163,377015,143189,243607,301287,139813,89500,59380,983760,340744,1324504,767147,371864,186774,172503,21112,121737,139869,177759,214721,8469,227877,264,1931,2950,69884,184468,665,29708,65235,7689,20405,28094,40321,161208,65072,55815,70958,12681,196644,36264,6273,7610,1086,251,32423,52
311,ASSAM,Sivasagar,1151050,589216,561834,813505,444767,368738,485717,325071,160646,318950,166767,665333,123430,360182,45047,405229,115378,208891,280517,158118,96939,53437,918834,247114,1165948,648056,330947,171710,161789,18234,97792,137392,159205,183253,13465,152235,437,6796,1956,87012,122653,21332,49397,47404,7747,19346,27093,40389,150732,61257,49086,58628,10530,176996,31006,5242,6210,808,160,32771,52
312,ASSAM,Jorhat,1092256,556805,535451,794929,432335,362594,498618,320746,177872,338635,159983,593638,122063,286330,80824,367154,99454,201680,295444,128050,97025,62608,892694,209170,1101864,604908,315550,171062,164118,16081,92598,128081,145819,155435,15163,107878,325,6943,1185,81844,104722,34072,65585,36039,7211,18085,25296,38630,144578,59963,45985,53066,10178,169163,29535,5070,6060,805,185,28360,52
313,ASSAM,Golaghat,1066888,543161,523727,721764,396475,325289,479928,309104,170824,331210,148718,586960,82345,292893,34190,327083,117393,223902,261192,111145,66197,36887,820800,258897,1079697,629153,289085,148244,157029,9295,70930,103909,123520,153723,12162,165581,485,3442,1468,64252,103715,8486,31806,43628,6011,16114,22125,36345,137370,55653,45372,55869,9489,166711,26763,4233,5039,649,157,26340,52
314,ASSAM,Karbi Anglong,956313,490167,466146,557214,314253,242961,383441,246193,137248,260482,122959,572872,53918,215691,37185,252876,109324,212224,199289,93137,40602,18225,676227,310093,986320,618633,233739,103123,97148,3934,56689,78269,51860,96932,66089,55973,15916,11180,3570,59185,62343,3965,12163,14978,4739,10667,15406,21086,87093,32646,33361,59266,15226,128097,22284,3645,4457,677,135,22153,52
315,ASSAM,Dima Hasao,214102,110802,103300,140873,78559,62314,85028,56323,28705,68297,16731,129074,19389,37610,21309,58919,20780,43811,53736,27839,10859,5565,163188,57631,220819,135463,53699,24830,2636,1326,14210,18890,15921,29780,11120,148,5984,9462,1257,15300,7654,1367,10812,65,2325,3219,5544,5781,21582,8187,7614,12856,2906,31634,3610,480,566,73,13,7078,68
316,ASSAM,Cachar,1736617,886284,850333,1174128,639946,534182,608062,469752,138310,471259,136803,1128555,140205,346227,88933,435160,256855,447993,379469,156156,79766,45341,1378531,357907,1736438,1048990,444899,241776,93297,8700,99887,168487,159266,298041,98179,18687,8090,39475,2045,169873,80138,60245,134160,11692,16072,40838,56910,61055,203831,76457,66319,93340,13962,277244,25131,3324,4092,623,145,61576,52
317,ASSAM,Karimganj,1228686,625864,602822,795297,435942,359355,399171,319798,79373,293392,105779,829515,70951,261945,32695,294640,198059,333885,257931,76685,39637,21408,935508,303785,1239293,779850,284368,163990,38218,3757,38570,105749,98861,210254,54614,38965,4523,23667,3956,120544,44183,84284,31884,17639,12064,25453,37517,35171,119294,43298,40825,72351,18085,183724,17384,2812,3552,599,141,42587,52
318,ASSAM,Hailakandi,659296,337890,321406,407366,226836,180530,214240,170792,43448,165193,49047,445056,44143,159215,16202,175417,88596,177984,139029,50056,28504,11608,500042,173306,673348,419921,156243,82841,27808,2583,19998,55345,49075,119292,24726,9661,9712,15503,2199,75014,15369,55524,24859,5379,8648,16921,25569,22356,73531,26771,24404,38038,6429,105304,7814,867,1050,149,34,29399,52
319,ASSAM,Bongaigaon,738804,375818,362986,434078,237114,196964,255806,197542,58264,191671,64135,482998,49866,181923,38470,220393,93591,138294,133643,55924,35491,20221,479431,260721,740152,458796,184849,94939,97820,5837,36350,78595,47000,84687,46422,85906,418,2463,3750,28239,103898,159,8885,10563,4790,10961,15751,23471,85826,34496,27859,39096,9614,109693,15859,3079,3822,612,131,20913,52
320,ASSAM,Chirang,482162,244860,237302,259902,145869,114033,193894,128762,65132,139027,54867,288268,22502,129018,11613,140631,64999,92943,84682,37792,17702,6594,305630,172939,478569,301518,122244,58282,65675,1814,16559,43203,14176,27951,41035,42206,1215,2572,4739,24143,51384,308,2988,8255,2404,6847,9251,14332,54620,20890,19398,28026,5362,71993,11734,1841,2253,329,83,11279,52
321,ASSAM,Kamrup,1517542,778461,739081,995319,550219,445100,628954,428492,200462,421244,207710,888588,122191,390596,43849,434445,163849,290097,353861,154831,118849,55011,1142942,392678,1535620,895775,408232,212740,199425,10052,90941,164899,124575,180800,36031,242635,4528,2846,4254,61695,197830,412,11130,5577,6457,17754,24211,40617,184261,75358,68286,79952,16918,220941,39125,7179,8897,1367,351,36379,52
322,ASSAM,Kamrup Metropolitan,1253938,647585,606353,1001191,537227,463964,490932,375613,115319,413154,77778,763006,250861,61334,366858,428192,79177,160490,255522,148429,143478,167972,985863,128773,1114636,659453,401500,190908,90467,53778,212645,252808,252029,268146,66100,84586,10174,2338,3063,32023,222725,616,87009,42978,14335,28606,42941,58937,190762,81999,49826,47079,9606,207947,28774,5872,7472,1229,371,46195,142
323,ASSAM,Nalbari,771639,396006,375633,531771,293184,238587,267623,210202,57421,196773,70850,504016,68313,210706,28238,238944,75866,141690,192771,81507,71734,39368,606629,188960,795589,442061,211320,117809,107774,4785,45938,86710,80855,103600,2272,144604,7,1134,1939,29026,109448,224,4373,1234,3526,8612,12138,19755,91709,37258,34696,42345,9160,113423,19380,4112,5168,839,217,17381,52
324,ASSAM,Baksa,950075,481330,468745,572837,322614,250223,406756,266611,140145,278297,128459,543319,44425,291641,3580,295221,95444,195643,225635,96782,53446,15422,684211,294784,978995,563089,256282,130083,137745,2479,36032,86067,31673,75132,41955,129609,1706,6254,3557,42591,107389,691,5135,6036,3672,11310,14982,24575,111895,45221,42099,52735,11055,138055,26641,4986,6191,950,255,19780,52
325,ASSAM,Darrang,928500,475273,453227,487039,268666,218373,324843,246864,77979,241456,83387,603657,45444,268517,20189,288706,119027,163277,161153,59039,47398,22267,575240,375556,950796,583436,226525,118102,109858,3533,30616,72141,46789,95080,9761,162815,216,3593,4532,43447,110458,1467,4865,7467,5759,13648,19407,28435,106839,42950,35454,50693,11113,144343,18049,2852,3432,470,110,22228,52
326,ASSAM,Udalguri,831668,421617,410051,469926,264326,205600,345030,230690,114340,253178,91852,486638,53507,267790,13835,281625,101146,155720,162369,63394,34334,14001,532576,306833,839409,499214,221518,109962,124472,2867,44972,77068,34290,73729,41088,91127,2619,8825,3659,42811,88378,2317,16301,5226,3900,11411,15311,23242,97005,38101,35662,46769,8962,123501,19828,3069,3656,486,101,21062,52
327,WEST BENGAL,Darjiling,1846823,937259,909564,1315585,717673,597912,683726,479586,204140,532855,150871,1163097,297176,303284,215675,518959,183479,344865,402415,176129,113905,110193,1343837,415353,1759190,1031221,523288,289979,125953,15192,222987,239601,196540,251140,78413,56519,88433,1776,7250,110011,144712,4010,130225,27749,12923,32230,45153,67886,235480,95369,72225,85818,15838,266477,55657,9374,11288,1511,403,48867,366
328,WEST BENGAL,Jalpaiguri,3872846,1983064,1889782,2498780,1396622,1102158,1512910,1091361,421549,1153765,359145,2359936,382500,798378,319426,1117804,455854,765613,814395,292056,150360,129393,2626587,1203423,3830010,2259507,1035449,575667,502539,16431,268908,332800,302540,428531,321013,304467,4128,7022,13573,239567,478249,2588,187441,97725,27411,73578,100989,147903,554594,225003,181688,182939,22879,647052,93625,11798,13728,1629,301,106996,863
329,WEST BENGAL,Koch Bihar,2819086,1451542,1367544,1850504,1028733,821771,1127977,845308,282669,886357,241620,1691109,186195,803407,97331,900738,393492,595555,590626,209153,93119,81100,1971757,873135,2844892,1623320,744646,448761,368564,8121,110969,215363,218408,399224,46823,525705,43,1200,10811,86570,544326,277,85766,130105,26614,67223,93837,120828,450992,191020,139144,117482,11620,523589,65347,7519,8630,915,196,76365,695
330,WEST BENGAL,Uttar Dinajpur,3007134,1551066,1456068,1489667,853495,636172,1075626,799627,275999,824342,251284,1931508,199307,683981,94269,778250,402590,488047,422777,163106,73395,59457,1622095,1431264,3053359,1916033,704859,385155,362567,8150,105431,198832,179022,164644,9714,546712,39,484,7838,177469,343480,360,31795,95954,14723,47047,61770,81917,326958,126359,118682,179210,30234,471345,60312,8186,9659,1190,283,56856,710
331,WEST BENGAL,Dakshin Dinajpur,1676276,857199,819077,1083685,596474,487211,702987,499560,203427,526470,176517,973289,168069,390949,70077,461026,247675,323965,327064,135556,63286,52345,1155081,534394,1689475,937283,465982,271423,225689,6211,103980,154925,86762,145974,2362,359461,25,217,2689,146370,149127,232,30454,86398,13268,38679,51947,78130,270930,115122,77678,65759,7585,300973,46022,5698,6579,763,118,42647,429
332,WEST BENGAL,Maldah,3988845,2051541,1937304,2086432,1152019,934413,1537847,1086461,451386,1050995,486852,2450998,297716,830318,128678,958996,478902,629137,595551,238078,109719,92207,2161924,1960034,4121958,2511004,955283,520122,401774,9639,142659,295922,175732,266247,68379,622045,245,1850,11386,302336,305711,1571,129224,182281,26008,76538,102546,128796,492634,193851,169987,209643,34115,645609,92422,14596,17689,2519,574,83218,946
333,WEST BENGAL,Murshidabad,7103807,3627564,3476243,4055834,2177187,1878647,2589907,1985667,604240,2022083,567824,4513900,541169,1501066,350899,1851965,837828,1428661,1210859,443254,230242,170051,4346870,3031841,7378711,4390564,1717594,991413,840951,14050,296566,530442,388157,617358,7421,1419053,191,2227,16353,510541,656450,1765,109233,236393,58934,159421,218355,261786,963617,396087,305744,320901,59019,1204751,161887,27361,32750,4328,1061,162504,1645
334,WEST BENGAL,Birbhum,3502404,1790920,1711484,2158447,1201481,956966,1331603,1029770,301833,912844,418759,2170801,333752,831044,134565,965609,417769,661190,622372,245201,122865,115743,2200345,1346802,3547147,2008655,952059,539463,451618,7305,191514,272320,186877,195797,38633,633070,358,2587,1858,387558,140634,916,129079,147657,33178,88186,121364,151965,527618,223375,152278,142195,21777,607715,95683,15427,18110,2200,483,91446,791
335,WEST BENGAL,Barddhaman,7717563,3966889,3750674,5247208,2918040,2329168,2911251,2293083,618168,2166742,744509,4806312,1049943,1364868,862368,2227236,800473,1437198,1605634,698251,405935,439823,5449930,2196886,7646816,4149420,2265543,1292913,1104486,46714,747286,930784,804546,949552,90491,965484,1037,3377,12276,660072,603999,2492,615383,239336,63096,161007,224103,325155,1100028,471769,303104,303313,78062,1198350,240020,50967,62457,9191,2299,204679,1379
336,WEST BENGAL,Nadia,5167600,2653768,2513832,3480555,1878866,1601689,1842607,1554090,288517,1595880,246727,3324993,623729,1081381,468390,1549771,605490,1093403,1052487,412193,236828,209562,3635454,1570127,5205581,2745828,1484986,934417,796698,18658,384314,544290,456320,955780,2492,1010328,145,971,14324,250539,837334,819,199423,181019,39958,120563,160521,264946,856282,367982,223354,186713,28340,929744,149929,23962,28090,3386,742,124093,1160
337,WEST BENGAL,North Twenty Four Parganas,10009781,5119389,4890392,7608693,4056046,3552647,3571624,2945189,626435,3055630,515994,6438157,1608749,1209337,1649803,2859140,1090829,1874051,2094743,989053,670977,852923,7700502,1901634,9602136,5104876,2968996,1921143,1279632,83803,1151793,1475106,1239559,1998032,4214,1355502,1344,2907,20237,560649,1264795,5907,887270,437410,75716,243236,318952,542351,1545373,624500,378522,357461,61781,1677016,266159,40526,47416,5696,1194,292976,1621
338,WEST BENGAL,Hugli,5519145,2814653,2704492,4078388,2211777,1866611,2152870,1713608,439262,1714645,438225,3366275,965258,992085,647953,1640038,676265,1172797,1174912,515807,333658,380060,4297751,1180806,5478557,2766489,1688206,1060821,903374,24013,628340,780325,613305,903933,2976,803670,797,2920,8534,470212,483054,2474,442520,249220,50510,131123,181633,273607,837497,353654,210236,198095,52213,869117,167315,34000,41423,6006,1417,191583,1048
339,WEST BENGAL,Bankura,3596674,1838095,1758579,2232992,1299337,933655,1466220,1050822,415398,916393,549827,2130454,334670,900515,90885,991400,450029,545200,686924,261478,143882,133465,2241357,1417787,3659144,1942335,1014764,637834,546543,7898,177819,297338,136050,153487,79084,570733,992,3939,2238,320938,149249,1022,90581,175975,27014,60032,87046,116281,469864,207816,145767,154069,45459,516864,122273,30691,38270,5902,1677,79031,818
340,WEST BENGAL,Puruliya,2930115,1496996,1433119,1624905,1002058,622847,1249642,801254,448388,613398,636244,1680473,189889,653219,99433,752652,299355,480046,528068,177459,91807,77621,1664428,1272799,2937227,1678057,764776,484166,393127,6602,104489,191057,66231,67448,157386,315203,3374,13793,1790,226511,55184,1791,69266,114439,19260,42004,61264,68614,307951,125289,114048,151353,48686,377334,97784,25976,33073,5569,1528,61063,640
341,WEST BENGAL,Haora,4850029,2500819,2349210,3605206,1942824,1662382,1819845,1498170,321675,1496267,323578,3030184,796953,483384,869313,1352697,516323,1059842,1084155,446743,284481,304594,3733165,926661,4659826,2587164,1423304,833104,576054,22295,539312,659579,455139,768670,5450,683400,260,423,2587,463040,255927,1255,329473,216717,34133,92296,126429,213487,659612,270747,175378,193153,49920,749571,128097,28116,35527,5753,1658,115919,760
342,WEST BENGAL,Kolkata,4496694,2356766,2139928,3588137,1926915,1661222,1795740,1412466,383274,1576419,219321,2700954,927602,0,1308106,1308106,255171,597841,820902,555529,425245,691804,3436193,410988,3847181,2025389,1433314,1014769,252887,85605,816141,857883,868116,915319,1735,95578,1095,1464,8650,207658,698088,3606,849526,55389,50120,121054,171174,227976,590949,224157,138816,158092,43968,641384,112874,20397,25185,3635,1153,184740,363
343,WEST BENGAL,South Twenty Four Parganas,8161961,4173778,3988183,5531657,3043277,2488380,2964494,2356571,607923,2003685,960809,5197467,837874,1568802,611430,2180232,1119126,1775793,1657528,564417,316571,322157,5802160,2184508,7986668,4763943,2151474,1235558,749020,38610,569137,869569,406676,1108082,1010,1344303,165,589,3900,793503,228977,2019,413818,272795,42807,145096,187903,342944,1139848,469180,327724,368977,73603,1340626,228640,41655,50305,7039,1611,150760,1744
344,WEST BENGAL,Paschim Medinipur,5913457,3007885,2905572,4078412,2266913,1811499,2509159,1757358,751801,1510548,998611,3404298,663811,1364335,201048,1565383,831300,1139784,1289873,477973,262072,211437,4247835,1689984,5937819,3243971,1664250,990179,926551,14598,304905,533930,251410,582455,158649,832723,1190,2677,5737,518505,304169,1371,246740,232713,40219,103669,143888,215866,823885,368112,239907,239237,55259,899178,191014,42055,52565,8160,2350,119512,1321
345,WEST BENGAL,Purba Medinipur,5095875,2629834,2466041,3923194,2149073,1774121,1910320,1516096,394224,1127312,783008,3185555,530761,1193006,170707,1363713,776367,1219166,1289927,444668,236549,184225,4181579,1021541,5203120,2866678,1384242,842025,667366,14605,225190,499045,166407,937702,652,961403,234,2153,4126,535804,111005,3494,123719,164984,30723,86651,117374,192185,723445,320716,210544,206875,51851,778902,161071,34753,42159,6202,1204,117413,1140
346,JHARKHAND,Garhwa,1322784,683575,639209,653476,405161,248315,571431,335451,235980,175126,396305,751353,29373,272872,19180,292052,207665,195565,147446,87844,46882,28144,716376,557852,1274228,860869,284036,177599,108161,2671,21864,100748,37316,18018,58397,180798,339,3129,710,120994,42515,227,9562,2359,5076,26987,32063,26314,117461,40088,51059,88464,16722,191754,39555,7433,9354,1501,420,14047,321
347,JHARKHAND,Chatra,1042886,533935,508951,510061,303902,206159,397690,251213,146477,195502,202188,645196,27037,200974,14528,215502,200861,161729,102033,63670,35342,21697,587378,467975,1055353,692650,222892,126682,90400,2110,17627,82823,31242,18298,79816,85552,358,2487,800,94922,29054,65,7066,930,3419,13593,17012,15490,75131,25520,34121,68464,20305,122484,33192,9679,12905,2532,694,12331,230
348,JHARKHAND,Kodarma,716259,367222,349037,390249,238780,151469,257418,173993,83425,143324,114094,458841,62318,116714,34771,151485,129677,130315,80561,52622,26415,20907,442871,297992,740863,462098,158603,95309,57819,2538,28323,78836,27914,18818,61855,36797,57,1276,596,55193,26469,10,5781,2072,2266,5762,8028,8105,44760,14956,21699,42911,18361,68611,24978,9260,13233,2988,985,7238,132
349,JHARKHAND,Giridih,2445474,1258098,1187376,1253475,783736,469739,1036277,623946,412331,412912,623365,1409197,125431,452564,46886,499450,503261,443980,261309,146464,77540,55122,1496125,1047685,2543810,1597269,533788,312967,226550,6290,63911,242670,65411,42269,258543,89371,994,7536,2883,205231,64045,378,20116,3294,5534,22053,27587,29735,156347,53870,72742,146041,61473,236630,87379,31126,44335,9820,3389,23104,613
350,JHARKHAND,Deoghar,1492073,775022,717051,793538,489837,303701,551467,383691,167776,297146,254321,940606,130193,257373,64337,321710,217460,266292,190171,96331,54419,43979,875351,635544,1510895,944961,338413,205514,174959,3714,64890,126305,51685,42762,99127,140518,297,3608,1045,137889,51356,93,10813,9593,4333,18370,22703,25873,122204,46589,49742,85691,29718,167640,52209,15656,20691,3875,1160,19776,329
351,JHARKHAND,Godda,1313551,677927,635624,604519,376212,228307,552191,344019,208172,235735,316456,761360,43230,276454,15576,292030,217607,190777,126766,79430,47395,30870,696847,653464,1350311,820367,308639,183519,133332,1754,25764,89533,35837,26348,61679,168876,2560,2965,1533,135005,36301,345,9377,2969,6263,23752,30015,30133,123999,45705,48161,79584,17420,175196,38394,8316,10349,1650,383,27079,299
352,JHARKHAND,Sahibganj,1150567,589391,561176,483263,287303,195960,490202,295690,194512,322572,167630,660365,34879,223450,37543,260993,146399,171416,110822,52248,28087,19832,531397,637296,1168693,745027,261849,137727,95511,1285,24604,64808,35220,34451,55900,148110,3988,1584,986,117415,44115,257,10049,8021,5792,21978,27770,30506,112655,40484,41665,70027,14065,167627,27575,4816,6039,987,236,23276,276
353,JHARKHAND,Pakur,900422,452661,447761,352881,206989,145892,404584,234012,170572,252017,152567,495838,31414,200588,16587,217175,100367,133770,79045,29934,15700,9822,370163,548434,918597,587976,206826,104418,102037,923,16500,39592,15762,18395,25425,139605,5719,1716,272,114465,11757,145,5590,7257,5517,18907,24424,26520,93405,34355,32530,52332,10417,133902,20843,3322,3893,488,83,21940,212
354,JHARKHAND,Dhanbad,2684487,1405956,1278531,1722204,1014950,707254,844504,658851,185653,546714,297790,1839983,427173,258764,405455,664219,317918,501453,449506,305054,186697,107382,1882625,662522,2545147,1634835,648876,356445,283681,18631,290580,328776,224918,198464,119821,153604,897,5460,9096,179162,163958,2154,199454,22792,15054,33281,48335,53844,254604,99175,101585,153679,42561,339234,79304,18798,24696,4657,1241,55945,529
355,JHARKHAND,Bokaro,2062330,1072807,989523,1273520,759088,514432,685368,507677,177691,380304,305064,1376962,274726,250312,258452,508764,242467,338861,342646,232434,154076,116396,1448037,595924,2043961,1261238,510375,282115,247231,21098,179570,239204,149320,130956,126869,137244,2450,12782,4209,141889,139394,1385,101797,12123,10350,28956,39306,41924,203702,78314,83464,119534,28896,269417,62803,15150,19449,3444,855,39769,539
356,JHARKHAND,Lohardaga,461790,232629,229161,259707,149568,110139,221332,121605,99727,103001,118331,240458,28769,96759,14725,111484,82873,84920,63545,38503,21987,13847,306651,188323,494974,298844,100340,62244,66235,1102,12504,32713,16335,13613,44537,40470,908,984,235,47719,10565,30,2682,435,2578,7033,9611,9632,41588,14782,17174,32787,7316,64996,12442,2208,2687,387,92,11177,108
