District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
Banda,4402,1799410,409
Barabanki,4120,3260699,791
Bareilly,2688,4448359,1655
Basti,4561,2464464,540
Bijnor,4262,3682713,864
Bulandshahr,4441,3499171,776
Chandauli,2541,1952756,768
Chitrakoot,3216,991730,308
Deoria,2540,3100946,1221
Etah,2431,1774480,730
Etawah,2311,1581810,684
Farrukhabad,2181,1885204,864
Fatehpur,4152,2632733,634
Firozabad,2407,2498156,1038
Gautam Buddha Nagar,720,1648115,2288
Ghaziabad,1179,3343334,2836
Ghazipur,3377,3620268,1072
Gonda,4003,3433919,858
Gorakhpur,3321,4440895,1337
Hamirpur,4021,1104285,275
Hapur,649,1338311,2061
Hardoi,5986,4092845,684
Hathras,1840,1564708,850
Jalaun,4565,1689974,370
Jaunpur,4038,4494204,1113
Jhansi,5024,1998603,398
Kannauj,2093,1656616,792
Kanpur Dehat,3021,1796184,595
Kanpur Nagar,3155,4581268,1452
Kasganj,1955,1436719,735
Kaushambi,1779,1599596,899
Kushinagar,2905,4021243,1200
Lakhimpur Kheri,7680,3564544,520
Lalitpur,5039,1221592,242
Lucknow,2528,4589838,1816
Maharajganj,2952,2684703,909
Mahoba,3144,875958,279
Mainpuri,2760,1868529,677
Mathura,3340,2547184,763
Mau,1713,2205968,1288
Meerut,2559,3443689,1346
Mirzapur,4405,2496970,567
Moradabad,2233,3126507,1400
Muzaffarnagar,2742,2869934,1047
Pilibhit,3686,2031007,551
Pratapgarh,3717,3209141,863
Prayagraj,5482,5954391,1086
Rae Bareli,3937,2903507,737
Rampur,2367,2335819,987
Saharanpur,3689,3466382,940
Sant Kabir Nagar,2390,2199774,920
Bhadohi,1646,1715183,1042
Sambhal,1015,1578213,1555
Shahjahanpur,4388,3006538,685
Shamli,1266,1273578,1006
Shravasti,1640,1117361,681
Siddharthnagar,2895,2559297,884
Sitapur,5743,4483992,781
Sonbhadra,6905,1862559,270
Sultanpur,2457,2249036,915
Unnao,4558,3108367,682
Varanasi,1535,3676841,2395
Almora,3083,621972,201
Bageshwar,2302,259840,113
Chamoli,8030,391114,49
Champawat,1781,259315,146
Dehradun,3088,1695860,550
Haridwar,2360,1927029,817
Nainital,3860,955128,247
Pauri Garhwal,5399,686572,127
Pithoragarh,7100,485993,68
Rudraprayag,1890,236857,125
Tehri Garhwal,4080,616409,151
Udham Singh Nagar,2908,1648367,567
Uttarkashi,8016,329686,41
Alipurduar,3383,1491250,441
Bankura,6882,3596674,523
Paschim Bardhaman,1603.17,2882031,1798
Purba Bardhaman,5432.69,4835532,890
Birbhum,4545,3502404,771
Cooch Behar,3387,2819086,833
Darjeeling,3149,1595181,732
Dakshin Dinajpur,2219,1676276,755
Hooghly,3149,5519145,1753
Howrah,1467,4850029,3306
Jalpaiguri,6227,2381596,837
Jhargram,3037.64,1136548,374
Kolkata,206.08,4496694,24306
Kalimpong,1044,251642,241
Malda,3733,3988845,1069
Paschim Medinipur,6308,4776909,757
Purba Medinipur,4785,5095875,1076
Murshidabad,5324,7103807,1334
Nadia,3927,5167601,1316
North 24 Parganas,4094,10009781,2445
South 24 Parganas,9960,8161961,819
Purulia,6259,2930115,468
Uttar Dinajpur,3140,3007134,958
