S.No.,State Code,State Name,District Code,District Name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Non_Workers,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households
23,28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore,550,2963557,1492974,1470583,1832189,1011922,820267,1314561,859880,454681,1648996,233623,696024,10201,39583,689137,264376,437438,451130,370710,267243,161031,148394,1863811,940785,2804596,1574713,840448,544022,432631,519318,306095,51084,167584,798,1514,14690,18079,326288,338967,1077,529838,56033,50886,124620,175506,145951,510984,243234,121799,79487,6648,107370,581823,64736,6336,7048,608,104,119018
24,28,Andhra Pradesh,754,Sri Sathya Sai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,28,Andhra Pradesh,752,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,28,Andhra Pradesh,520,Visakhapatnam,544,4290589,2138910,2151679,2568249,1422878,1145371,1889879,1239064,650815,2400710,495389,1010250,45492,124729,718847,660493,414636,568178,649271,541942,329770,289734,2837695,1418851,4256546,2274553,1245627,716066,881691,679351,577722,81562,319590,62111,5855,9949,79516,494827,384258,1601,634191,145141,54096,144655,198751,214294,786438,380992,191152,129455,11522,247081,868660,92853,8305,9143,717,121,155510
27,28,Andhra Pradesh,521,Vizianagaram,543,2344474,1161477,1182997,1238388,707503,530885,1157962,679289,478673,1186512,140361,527736,4453,24128,592458,157056,250446,300057,257468,186576,115144,103591,1240323,1031683,2272006,1206366,666394,451469,443111,242486,131289,73701,246172,6785,2591,1015,12979,396943,95138,2588,259205,59276,30854,74473,105327,104907,403386,192867,105612,80085,7807,104524,440182,65254,6261,6993,645,87,84176
28,28,Andhra Pradesh,523,West Godavari,546,3936966,1964918,1972048,2652389,1379223,1273166,1773112,1199338,573774,2163854,435334,1017568,12050,55613,1007255,248373,595331,718960,585595,415178,215863,207586,2771842,1028767,3800609,2051513,1127764,755533,645717,720167,694857,20184,126299,264,8333,7707,26637,338966,593261,10333,900503,17816,70587,193110,263697,211052,724609,363280,150277,82492,4982,143553,830550,71679,5319,5684,329,36,167867
29,28,Andhra Pradesh,504,Y.S.R.,551,2882469,1451777,1430692,1716766,994699,722067,1320404,823886,496518,1562065,209532,671764,6667,39923,590589,293504,408650,509166,413364,258798,140145,116330,1862684,893657,2756341,1553667,793583,530412,509140,586881,314726,4347,82945,1137,2078,13297,16598,374889,238688,86,598146,25759,35964,93139,129103,119726,455759,201211,134822,106666,11608,89559,530163,70984,8397,9509,953,159,92480
30,12,Arunachal Pradesh,628,Anjaw,260,21167,11507,9660,9990,6523,3467,10501,6224,4277,10666,476,1949,27,252,6025,428,2879,2946,2170,1167,793,502,10555,8723,19278,13913,4755,2456,4069,1064,1200,3,0,150,238,121,547,1845,1307,38,3624,0,389,457,846,552,1886,661,673,1275,173,1028,2991,281,35,37,2,0,871
31,12,Arunachal Pradesh,787,Bichom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12,Arunachal Pradesh,229,Changlang,253,148226,76948,71278,73174,44027,29147,62966,39329,23637,85260,4762,14593,170,1486,33422,6498,20425,22537,17354,10032,5641,3633,80456,57290,137746,96630,35018,16414,26837,9721,19606,3501,9164,979,1748,385,3164,10346,12040,52,12297,2057,1429,2130,3559,3395,13892,5197,5300,8962,2015,6042,21057,3081,422,483,53,8,3807
33,12,Arunachal Pradesh,230,Dibang Valley,257,8004,4414,3590,4436,2614,1822,3555,2228,1327,4449,605,1074,17,133,2055,1175,696,1258,1060,809,656,356,4926,2185,7111,5113,2088,786,1824,947,1311,6,0,44,92,71,214,694,932,7,1649,0,383,260,643,257,726,247,222,401,101,245,982,137,8,8,0,0,744
34,12,Arunachal Pradesh,231,East Kameng,247,78690,38775,39915,38449,21599,16850,31710,16424,15286,46980,3583,5318,57,885,14503,5215,11713,10487,8852,6213,4510,2330,44247,31763,76010,53752,17922,6960,13486,4477,4703,296,46,1375,1309,160,3008,7097,2839,164,11181,44,494,1068,1562,1626,6187,2156,2405,5600,1261,4674,11366,1396,217,266,38,11,1582
