S.No.,State Code,State Name,District Code,District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
130,4.0,Chandigarh,44.0,Chandigarh,,,
131,22.0,Chhattisgarh,646.0,Balod,3527,826165,234
132,22.0,Chhattisgarh,644.0,Balodabazar-Bhatapara,,,
133,22.0,Chhattisgarh,649.0,Balrampur-Ramanujganj,,,
134,22.0,Chhattisgarh,374.0,Bastar,6596.9,834873,213
135,22.0,Chhattisgarh,650.0,Bemetara,2854.81,795759,279
136,22.0,Chhattisgarh,636.0,Bijapur,6552.96,255230,39
137,22.0,Chhattisgarh,375.0,Bilaspur,3511.1,1625502,463
137,22.0,Chhattisgarh,375.0,Bilaspur,1167,381956,327
138,22.0,Chhattisgarh,376.0,Dakshin Bastar Dantewada,,,
139,22.0,Chhattisgarh,377.0,Dhamtari,4081.93,799781,196
140,22.0,Chhattisgarh,378.0,Durg,2319.99,1721948,742
141,22.0,Chhattisgarh,645.0,Gariaband,5854.94,597653,103
142,22.0,Chhattisgarh,734.0,Gaurella-Pendra-Marwahi,2307.39,336420,166
143,22.0,Chhattisgarh,379.0,Janjgir-Champa,4466.74,966671,360
144,22.0,Chhattisgarh,380.0,Jashpur,6457.41,851669,132
145,22.0,Chhattisgarh,382.0,Kabeerdham,,,
146,22.0,Chhattisgarh,759.0,Khairagarh-Chhuikhadan-Gandai,-,368444,-
147,22.0,Chhattisgarh,643.0,Kondagaon,6050.73,578326,96
148,22.0,Chhattisgarh,383.0,Korba,7145.44,1206640,169
149,22.0,Chhattisgarh,384.0,Korea,,,
150,22.0,Chhattisgarh,385.0,Mahasamund,4963.01,1032754,208
151,22.0,Chhattisgarh,760.0,Manendragarh-Chirmiri-Bharatpur(M C B),,,
152,22.0,Chhattisgarh,761.0,Mohla-Manpur- Ambagarh Chowki,-,283947,-
153,22.0,Chhattisgarh,647.0,Mungeli,2750.36,701707,255
154,22.0,Chhattisgarh,637.0,Narayanpur,6922.68,139820,20
155,22.0,Chhattisgarh,386.0,Raigarh,-,1112982,-
156,22.0,Chhattisgarh,387.0,Raipur,2914.37,2160876,742
157,22.0,Chhattisgarh,388.0,Rajnandgaon,8070,884742,110
158,22.0,Chhattisgarh,762.0,Sakti,-,653036,-
159,22.0,Chhattisgarh,763.0,Sarangarh-Bilaigarh,-,607434,-
160,22.0,Chhattisgarh,642.0,Sukma,5767.02,250159,43
161,22.0,Chhattisgarh,648.0,Surajpur,4998.26,789043,158
162,22.0,Chhattisgarh,389.0,Surguja,5019.8,840352,167
163,22.0,Chhattisgarh,381.0,Uttar Bastar Kanker,,,
164,7.0,Delhi,77.0,Central,,,
165,7.0,Delhi,78.0,East,,,
166,7.0,Delhi,79.0,New Delhi,35,133713,
167,7.0,Delhi,80.0,North,,,
168,7.0,Delhi,81.0,North East,,,
169,7.0,Delhi,82.0,North West,,,
170,7.0,Delhi,671.0,Shahdara,59.75,322931,
171,7.0,Delhi,83.0,South,,,
172,7.0,Delhi,670.0,South East,,,
173,7.0,Delhi,84.0,South West,,,
174,7.0,Delhi,85.0,West,,,
175,30.0,Goa,551.0,North Goa,"1,736","817,761",471
176,30.0,Goa,552.0,South Goa,"1,966","639,962",326
177,24.0,Gujarat,438.0,Ahmedabad,,,
178,24.0,Gujarat,439.0,Amreli,,1513614,
179,24.0,Gujarat,440.0,Anand,,2090276,
180,24.0,Gujarat,672.0,Arvalli,,,
181,24.0,Gujarat,441.0,Banas Kantha,,,
182,24.0,Gujarat,442.0,Bharuch,,1550822,
183,24.0,Gujarat,443.0,Bhavnagar,,2393272,
184,24.0,Gujarat,676.0,Botad,,656005,
185,24.0,Gujarat,668.0,Chhotaudepur,,,
186,24.0,Gujarat,445.0,Dahod,,2126558,
187,24.0,Gujarat,444.0,Dangs,,,
188,24.0,Gujarat,674.0,Devbhumi Dwarka,,,
189,24.0,Gujarat,446.0,Gandhinagar,,1387478,
190,24.0,Gujarat,675.0,Gir Somnath,,,
191,24.0,Gujarat,447.0,Jamnagar,,1407635,
192,24.0,Gujarat,448.0,Junagadh,,1525605,
193,24.0,Gujarat,449.0,Kachchh,,,
194,24.0,Gujarat,450.0,Kheda,,,
195,24.0,Gujarat,451.0,Mahesana,,,
196,24.0,Gujarat,669.0,Mahisagar,,,
197,24.0,Gujarat,673.0,Morbi,,960329,
198,24.0,Gujarat,452.0,Narmada,,,
199,24.0,Gujarat,453.0,Navsari,,1330711,
200,24.0,Gujarat,454.0,Panch Mahals,,,
201,24.0,Gujarat,455.0,Patan,,1342746,
202,24.0,Gujarat,456.0,Porbandar,,586062,
203,24.0,Gujarat,457.0,Rajkot,,3015229,
204,24.0,Gujarat,458.0,Sabar Kantha,,,
205,24.0,Gujarat,459.0,Surat,,,
206,24.0,Gujarat,460.0,Surendranagar,,1585268,
207,24.0,Gujarat,641.0,Tapi,,,
208,24.0,Gujarat,461.0,Vadodara,,,
209,24.0,Gujarat,462.0,Valsad,,1703068,
210,6.0,Haryana,58.0,Ambala,1574,1136784,
211,6.0,Haryana,59.0,Bhiwani,3432,1126833,
212,6.0,Haryana,701.0,Charkhi Dadri,1370,502276,
213,6.0,Haryana,60.0,Faridabad,792,1798954,
214,6.0,Haryana,61.0,Fatehabad,2538,941522,
215,6.0,Haryana,62.0,Gurugram,1253,1514085,
216,6.0,Haryana,63.0,Hisar,3983,1742815,
217,6.0,Haryana,64.0,Jhajjar,1834,956907,
218,6.0,Haryana,65.0,Jind,2702,1332042,
219,6.0,Haryana,66.0,Kaithal,2317,1072861,
220,6.0,Haryana,67.0,Karnal,2520,1506323,
221,6.0,Haryana,68.0,Kurukshetra,1530,964231,
222,6.0,Haryana,69.0,Mahendragarh,1859,921680,
223,6.0,Haryana,604.0,Nuh,1874,1089406,
224,6.0,Haryana,619.0,Palwal,1359,1040493,
225,6.0,Haryana,70.0,Panchkula,898,558890,
226,6.0,Haryana,71.0,Panipat,1268,1202811,
227,6.0,Haryana,72.0,Rewari,1582,896129,
228,6.0,Haryana,73.0,Rohtak,1745,1058683,
229,6.0,Haryana,74.0,Sirsa,4277,1295114,
230,6.0,Haryana,75.0,Sonipat,2122,1480080,
231,6.0,Haryana,76.0,Yamunanagar,1768,1214162,
232,2.0,Himachal Pradesh,15.0,Bilaspur,3511.1,1625502,463
232,2.0,Himachal Pradesh,15.0,Bilaspur,1167,381956,327
233,2.0,Himachal Pradesh,16.0,Chamba,6522,519080,80
