S.No.,State Code,State Name,District Code,District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
209,24,Gujarat,462,Valsad,,1703068,
210,6,Haryana,58,Ambala,1574,1136784,
211,6,Haryana,59,Bhiwani,3432,1126833,
212,6,Haryana,701,Charkhi Dadri,1370,502276,
213,6,Haryana,60,Faridabad,792,1798954,
214,6,Haryana,61,Fatehabad,2538,941522,
215,6,Haryana,62,Gurugram,1253,1514085,
216,6,Haryana,63,Hisar,3983,1742815,
217,6,Haryana,64,Jhajjar,1834,956907,
218,6,Haryana,65,Jind,2702,1332042,
219,6,Haryana,66,Kaithal,2317,1072861,
220,6,Haryana,67,Karnal,2520,1506323,
221,6,Haryana,68,Kurukshetra,1530,964231,
222,6,Haryana,69,Mahendragarh,1859,921680,
223,6,Haryana,604,Nuh,1874,1089406,
224,6,Haryana,619,Palwal,1359,1040493,
225,6,Haryana,70,Panchkula,898,558890,
226,6,Haryana,71,Panipat,1268,1202811,
227,6,Haryana,72,Rewari,1582,896129,
228,6,Haryana,73,Rohtak,1745,1058683,
229,6,Haryana,74,Sirsa,4277,1295114,
230,6,Haryana,75,Sonipat,2122,1480080,
231,6,Haryana,76,Yamunanagar,1768,1214162,
232,2,Himachal Pradesh,15,Bilaspur,3511.1,1625502,463
232,2,Himachal Pradesh,15,Bilaspur,1167,381956,327
233,2,Himachal Pradesh,16,Chamba,6522,519080,80
234,2,Himachal Pradesh,17,Hamirpur,1118,454768,407
234,2,Himachal Pradesh,17,Hamirpur,4021,1104285,275
235,2,Himachal Pradesh,18,Kangra,5739,1510075,263
236,2,Himachal Pradesh,19,Kinnaur,6401,84121,13
237,2,Himachal Pradesh,20,Kullu,5503,437903,80
238,2,Himachal Pradesh,21,Lahaul and Spiti,7835,18564,1
239,2,Himachal Pradesh,22,Mandi,3950,999777,250
240,2,Himachal Pradesh,23,Shimla,5131,814010,159
241,2,Himachal Pradesh,24,Sirmaur,2825,529855,188
242,2,Himachal Pradesh,25,Solan,1936,580320,300
243,2,Himachal Pradesh,26,Una,1540,521173,338
244,1,Jammu And Kashmir,1,Anantnag   ,"3,574","1,070,144",
245,1,Jammu And Kashmir,623,Bandipora,,,
246,1,Jammu And Kashmir,3,Baramulla   ,"4,243","1,015,503",
247,1,Jammu And Kashmir,2,Budgam   ,"1,361","735,753",
248,1,Jammu And Kashmir,4,Doda  ,2625,409576,
249,1,Jammu And Kashmir,626,Ganderbal   ,"1,045","297,003",
250,1,Jammu And Kashmir,5,Jammu  ,2342,1526406,
251,1,Jammu And Kashmir,7,Kathua  ,2502,615711,
252,1,Jammu And Kashmir,620,Kishtwar  ,7737,231037,
253,1,Jammu And Kashmir,622,Kulgam   ,410,"422,786",
254,1,Jammu And Kashmir,8,Kupwara   ,"2,379","875,564",
255,1,Jammu And Kashmir,10,Poonch  ,1674,476820,
256,1,Jammu And Kashmir,11,Pulwama   ,"1,086","570,060",
257,1,Jammu And Kashmir,12,Rajouri  ,2630,619266,
258,1,Jammu And Kashmir,621,Ramban  ,1329,283313,
259,1,Jammu And Kashmir,627,Reasi  ,1719,314714,
260,1,Jammu And Kashmir,624,Samba  ,904,318611,
261,1,Jammu And Kashmir,625,Shopian   ,312,"265,960",
262,1,Jammu And Kashmir,13,Srinagar   ,"1,979","1,269,751",
263,1,Jammu And Kashmir,14,Udhampur  ,2367,555357,
264,20,Jharkhand,322,Bokaro,2883,2062330,715
265,20,Jharkhand,323,Chatra,3718,1042886,280
266,20,Jharkhand,324,Deoghar,2477,1492073,602
267,20,Jharkhand,325,Dhanbad,2040,2684487,1316
268,20,Jharkhand,326,Dumka,3761,1321442,351
269,20,Jharkhand,327,East Singhbhum,3562,2293919,644
270,20,Jharkhand,328,Garhwa,4093,1322784,323
271,20,Jharkhand,329,Giridih,4962,2445474,493
272,20,Jharkhand,330,Godda,2266,1313551,580
273,20,Jharkhand,331,Gumla,5360,1025213,191
274,20,Jharkhand,332,Hazaribagh,3555,1734495,488
275,20,Jharkhand,333,Jamtara,1811,791042,437
276,20,Jharkhand,606,Khunti,2535,531885,210
277,20,Jharkhand,334,Koderma,,,
278,20,Jharkhand,335,Latehar,4291,726978,169
279,20,Jharkhand,336,Lohardaga,1502,461790,307
280,20,Jharkhand,337,Pakur,1811,900422,497
281,20,Jharkhand,338,Palamu,4393,1939869,442
282,20,Jharkhand,607,Ramgarh,1341,949443,708
283,20,Jharkhand,339,Ranchi,5097,2914253,572
284,20,Jharkhand,340,Sahebganj,,,
285,20,Jharkhand,341,Saraikela-Kharsawan,2657,1065056,401
286,20,Jharkhand,342,Simdega,3774,599578,159
287,20,Jharkhand,343,West Singhbhum,7224,1502338,208
288,29,Karnataka,524,Bagalkote,6575,1889752,288
289,29,Karnataka,528,Ballari,4252,1400970,290
290,29,Karnataka,527,Belagavi,13415,4779661,356
291,29,Karnataka,526,Bengaluru Rural,2259,990923,431
